Seq	Host	Starttime	JobRuntime	Send	Receive	Exitval	Signal	Command
6	:	1613633321.487	 20696.420	0	209	0	0	PIPELINE INCOV005-BL
1	:	1613633246.411	 21364.310	0	209	0	0	PIPELINE INCOV001-CV
4	:	1613633291.457	 29373.430	0	209	0	0	PIPELINE INCOV003-AC
2	:	1613633261.426	 33687.261	0	209	0	0	PIPELINE INCOV002-CV
5	:	1613633306.472	 36576.448	0	209	0	0	PIPELINE INCOV003-CV
8	:	1613654610.756	 17681.148	0	209	0	0	PIPELINE INCOV005-CV
11	:	1613669883.223	  2748.895	0	209	0	0	PIPELINE INCOV006-CV
3	:	1613633276.442	 42501.088	0	209	0	0	PIPELINE INCOV003-BL
9	:	1613662664.992	 15796.750	0	209	0	0	PIPELINE INCOV006-BL
7	:	1613654017.932	 29594.213	0	209	0	0	PIPELINE INCOV005-AC
13	:	1613672632.168	 13928.214	0	209	0	0	PIPELINE INCOV007-AC
15	:	1613678461.771	 24584.300	0	209	0	0	PIPELINE INCOV008-BL
12	:	1613672291.944	 31946.138	0	209	0	0	PIPELINE INCOV007-BL
14	:	1613675777.656	 30256.551	0	209	0	0	PIPELINE INCOV007-CV
17	:	1613686560.424	 20558.980	0	209	0	0	PIPELINE INCOV009-AC
21	:	1613707119.590	  2247.680	0	209	0	0	PIPELINE INCOV010-CV
16	:	1613683612.184	 28148.687	0	209	0	0	PIPELINE INCOV009-BL
10	:	1613666948.792	 50011.345	0	209	0	0	PIPELINE INCOV006-AC
20	:	1613706034.274	 17170.934	0	209	0	0	PIPELINE INCOV010-AC
23	:	1613711760.899	 12324.361	0	209	0	0	PIPELINE INCOV011-AC
22	:	1613709367.294	 21020.846	0	209	0	0	PIPELINE INCOV011-BL
19	:	1613704238.345	 31503.072	0	209	0	0	PIPELINE INCOV010-BL
24	:	1613716960.225	 23447.425	0	209	0	0	PIPELINE INCOV012-BL
18	:	1613703046.328	 39008.280	0	209	0	0	PIPELINE INCOV009-CV
28	:	1613735741.513	  8068.585	0	209	0	0	PIPELINE INCOV013-AC
25	:	1613723205.328	 27070.579	0	209	0	0	PIPELINE INCOV012-AC
26	:	1613724085.299	 28757.145	0	209	0	0	PIPELINE INCOV012-CV
31	:	1613743810.129	 10289.863	0	209	0	0	PIPELINE INCOV015-BL
30	:	1613742054.714	 19137.276	0	209	0	0	PIPELINE INCOV014-BL
35	:	1613761192.032	    27.606	0	158	0	0	PIPELINE INCOV017-BL
36	:	1613761219.644	    15.819	0	158	0	0	PIPELINE INCOV017-AC
29	:	1613740407.683	 25138.939	0	209	0	0	PIPELINE INCOV013-CV
27	:	1613730388.168	 40071.947	0	209	0	0	PIPELINE INCOV013-BL
37	:	1613761235.469	 13000.746	0	209	0	0	PIPELINE INCOV016-CV
39	:	1613770460.219	  4680.616	0	209	0	0	PIPELINE INCOV018-BL
32	:	1613750276.005	 28075.180	0	209	0	0	PIPELINE INCOV015-AC
33	:	1613752842.661	 29859.226	0	209	0	0	PIPELINE INCOV016-BL
40	:	1613774236.333	 10135.417	0	209	0	0	PIPELINE INCOV018-AC
38	:	1613765546.664	 22510.941	0	209	0	0	PIPELINE INCOV017-CV
34	:	1613754100.027	 35145.279	0	209	0	0	PIPELINE INCOV016-AC
42	:	1613778351.218	 12866.279	0	209	0	0	PIPELINE INCOV019-BL
41	:	1613775140.864	 20137.635	0	209	0	0	PIPELINE INCOV018-CV
43	:	1613782702.014	 15963.200	0	209	0	0	PIPELINE INCOV019-AC
48	:	1613795278.531	  9188.715	0	209	0	0	PIPELINE INCOV022-CV
46	:	1613789245.348	 19271.134	0	209	0	0	PIPELINE INCOV022-BL
47	:	1613791217.521	 20522.147	0	209	0	0	PIPELINE INCOV022-AC
44	:	1613784371.836	 29461.861	0	209	0	0	PIPELINE INCOV020-BL
50	:	1613804467.274	 13533.638	0	209	0	0	PIPELINE INCOV023-BL
45	:	1613788057.758	 30263.948	0	209	0	0	PIPELINE INCOV020-AC
54	:	1613818000.968	  4373.833	0	209	0	0	PIPELINE INCOV024-CV
51	:	1613808516.610	 18314.610	0	209	0	0	PIPELINE INCOV023-AC
53	:	1613813833.753	 15211.411	0	209	0	0	PIPELINE INCOV024-AC
49	:	1613798665.250	 34384.107	0	209	0	0	PIPELINE INCOV023-CV
58	:	1613829045.210	  5428.823	0	209	0	0	PIPELINE INCOV026-AC
60	:	1613834474.086	  2989.782	0	209	0	0	PIPELINE INCOV027-AC
57	:	1613826831.272	 14266.302	0	209	0	0	PIPELINE INCOV026-BL
61	:	1613837463.912	  7141.861	0	209	0	0	PIPELINE INCOV027-CV
63	:	1613844605.800	  1824.842	0	209	0	0	PIPELINE INCOV028-AC
62	:	1613841097.614	  8647.809	0	209	0	0	PIPELINE INCOV028-BL
56	:	1613822374.836	 30283.421	0	209	0	0	PIPELINE INCOV025-AC
59	:	1613833049.476	 23815.020	0	209	0	0	PIPELINE INCOV027-BL
65	:	1613849745.455	  7422.468	0	209	0	0	PIPELINE INCOV029-AC
64	:	1613846430.677	 11618.730	0	209	0	0	PIPELINE INCOV029-BL
55	:	1613818321.743	 39892.435	0	209	0	0	PIPELINE INCOV025-BL
52	:	1613811739.707	 47377.855	0	209	0	0	PIPELINE INCOV024-BL
67	:	1613856864.532	  8477.812	0	209	0	0	PIPELINE INCOV030-BL
69	:	1613858049.537	 16687.953	0	209	0	0	PIPELINE INCOV030-CV
72	:	1613865342.395	 10680.671	0	213	0	0	PIPELINE INCOV031-PD1
68	:	1613857167.939	 19833.989	0	209	0	0	PIPELINE INCOV030-AC
66	:	1613852658.340	 24893.939	0	209	0	0	PIPELINE INCOV029-CV
73	:	1613874737.559	  4875.556	0	209	0	0	PIPELINE INCOV032-BL
74	:	1613876023.072	  3982.345	0	209	0	0	PIPELINE INCOV032-AC
70	:	1613858214.217	 23700.135	0	209	0	0	PIPELINE INCOV031-BL
78	:	1613880005.424	  2032.723	0	209	0	0	PIPELINE INCOV034-AC
71	:	1613859117.595	 25222.290	0	209	0	0	PIPELINE INCOV031-AC
77	:	1613879613.143	  5608.838	0	209	0	0	PIPELINE INCOV034-BL
